game_id,source,split,session_name,game_key,num_turns,num_players,n_raw_empty_annotation_utterances,n_raw_no_strategy_utterances,n_multi_label_utterances,n_strategy_utterances,n_no_strategy_or_empty_utterances,n_accusation,n_call_for_action,n_defense,n_evidence,n_identity_declaration,n_interrogation,n_no_strategy_empty,n_strategy_labels,strategy_utterance_rate,no_strategy_or_empty_utterance_rate,multi_label_utterance_rate,rate_accusation_per_turn,rate_call_for_action_per_turn,rate_defense_per_turn,rate_evidence_per_turn,rate_identity_declaration_per_turn,rate_interrogation_per_turn
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019 / Game3,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019,Game3,106,4,0,62,3,44,62,7,2,6,12,2,18,62,47,0.41509433962264153,0.5849056603773585,0.02830188679245283,0.0660377358490566,0.018867924528301886,0.05660377358490566,0.11320754716981132,0.018867924528301886,0.16981132075471697
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game1,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019,Game1,141,4,0,95,6,46,95,6,9,5,7,4,21,95,52,0.3262411347517731,0.6737588652482269,0.0425531914893617,0.0425531914893617,0.06382978723404255,0.03546099290780142,0.04964539007092199,0.028368794326241134,0.14893617021276595
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game3,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019,Game3,107,4,0,54,3,53,54,11,9,8,7,4,17,54,56,0.4953271028037383,0.5046728971962616,0.028037383177570093,0.102803738317757,0.08411214953271028,0.07476635514018691,0.06542056074766354,0.037383177570093455,0.1588785046728972
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game4,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019,Game4,133,4,0,76,4,57,76,11,5,4,10,2,29,76,61,0.42857142857142855,0.5714285714285714,0.03007518796992481,0.08270676691729323,0.03759398496240601,0.03007518796992481,0.07518796992481203,0.015037593984962405,0.21804511278195488
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019 / Game1,Youtube,test,ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019,Game1,136,4,0,72,4,64,72,11,5,7,15,2,28,72,68,0.47058823529411764,0.5294117647058824,0.029411764705882353,0.08088235294117647,0.03676470588235294,0.051470588235294115,0.11029411764705882,0.014705882352941176,0.20588235294117646
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019 / Game2,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019,Game2,149,4,0,74,3,75,74,16,19,18,13,1,11,74,78,0.5033557046979866,0.4966442953020134,0.020134228187919462,0.10738255033557047,0.12751677852348994,0.12080536912751678,0.087248322147651,0.006711409395973154,0.0738255033557047
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game2,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019,Game2,129,4,0,61,7,68,61,16,10,6,5,3,35,61,75,0.5271317829457365,0.4728682170542636,0.05426356589147287,0.12403100775193798,0.07751937984496124,0.046511627906976744,0.03875968992248062,0.023255813953488372,0.2713178294573643
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game3,Youtube,test,ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019,Game3,82,4,0,28,5,54,28,13,5,10,7,5,19,28,59,0.6585365853658537,0.34146341463414637,0.06097560975609756,0.15853658536585366,0.06097560975609756,0.12195121951219512,0.08536585365853659,0.06097560975609756,0.23170731707317074
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game1,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016,Game1,50,4,0,13,8,37,13,7,7,17,8,1,7,13,47,0.74,0.26,0.16,0.14,0.14,0.34,0.16,0.02,0.14
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game2,Youtube,test,ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016,Game2,97,4,2,55,11,40,57,4,4,18,16,2,8,57,52,0.41237113402061853,0.5876288659793815,0.1134020618556701,0.041237113402061855,0.041237113402061855,0.18556701030927836,0.16494845360824742,0.020618556701030927,0.08247422680412371
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game3,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016,Game3,105,4,3,45,17,57,48,15,13,23,6,3,15,48,75,0.5428571428571428,0.45714285714285713,0.1619047619047619,0.14285714285714285,0.12380952380952381,0.21904761904761905,0.05714285714285714,0.02857142857142857,0.14285714285714285
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game4,Youtube,val,ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016,Game4,189,4,1,124,20,64,125,12,4,29,20,5,14,125,84,0.3386243386243386,0.6613756613756614,0.10582010582010581,0.06349206349206349,0.021164021164021163,0.15343915343915343,0.10582010582010581,0.026455026455026454,0.07407407407407407
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game2,Youtube,train,One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF,Game2,119,4,0,48,19,71,48,23,15,15,11,7,22,48,93,0.5966386554621849,0.40336134453781514,0.15966386554621848,0.19327731092436976,0.12605042016806722,0.12605042016806722,0.09243697478991597,0.058823529411764705,0.18487394957983194
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game3,Youtube,train,One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF,Game3,104,4,0,48,14,56,48,16,7,8,11,6,23,48,71,0.5384615384615384,0.46153846153846156,0.1346153846153846,0.15384615384615385,0.0673076923076923,0.07692307692307693,0.10576923076923077,0.057692307692307696,0.22115384615384615
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game7,Youtube,train,One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF,Game7,104,4,0,45,4,59,45,21,3,8,9,3,20,45,64,0.5673076923076923,0.4326923076923077,0.038461538461538464,0.20192307692307693,0.028846153846153848,0.07692307692307693,0.08653846153846154,0.028846153846153848,0.19230769230769232
Youtube / One#Night#Ultimate#Werewolf#1#How-To#and#Playthrough / Game1,Youtube,train,One#Night#Ultimate#Werewolf#1#How-To#and#Playthrough,Game1,218,6,0,101,29,117,101,29,4,28,18,35,35,101,149,0.536697247706422,0.463302752293578,0.13302752293577982,0.13302752293577982,0.01834862385321101,0.12844036697247707,0.08256880733944955,0.16055045871559634,0.16055045871559634
Youtube / One#Night#Ultimate#Werewolf#2#The#Drunk / Game1,Youtube,train,One#Night#Ultimate#Werewolf#2#The#Drunk,Game1,210,6,0,82,19,128,82,35,7,14,21,18,55,82,150,0.6095238095238096,0.3904761904761905,0.09047619047619047,0.16666666666666666,0.03333333333333333,0.06666666666666667,0.1,0.08571428571428572,0.2619047619047619
Youtube / One#Night#Ultimate#Werewolf#3#Insomniac / Game1,Youtube,train,One#Night#Ultimate#Werewolf#3#Insomniac,Game1,197,6,0,107,14,90,107,24,10,17,13,15,26,107,105,0.45685279187817257,0.5431472081218274,0.07106598984771574,0.1218274111675127,0.050761421319796954,0.08629441624365482,0.06598984771573604,0.07614213197969544,0.1319796954314721
Youtube / One#Night#Ultimate#Werewolf#361#Classic#Werewolf / Game1,Youtube,train,One#Night#Ultimate#Werewolf#361#Classic#Werewolf,Game1,305,6,0,155,10,150,155,50,7,10,24,12,57,155,160,0.4918032786885246,0.5081967213114754,0.03278688524590164,0.16393442622950818,0.022950819672131147,0.03278688524590164,0.07868852459016394,0.03934426229508197,0.18688524590163935
Youtube / One#Night#Ultimate#Werewolf#362#More#Classic#Werewolf / Game1,Youtube,val,One#Night#Ultimate#Werewolf#362#More#Classic#Werewolf,Game1,265,6,0,124,13,141,124,47,6,23,17,24,41,124,158,0.5320754716981132,0.4679245283018868,0.04905660377358491,0.17735849056603772,0.022641509433962263,0.08679245283018867,0.06415094339622641,0.09056603773584905,0.15471698113207547
Youtube / One#Night#Ultimate#Werewolf#363#Even#More#Classic#Werewolf / Game1,Youtube,val,One#Night#Ultimate#Werewolf#363#Even#More#Classic#Werewolf,Game1,340,6,0,197,6,143,197,31,9,15,16,19,59,197,149,0.42058823529411765,0.5794117647058824,0.01764705882352941,0.09117647058823529,0.026470588235294117,0.04411764705882353,0.047058823529411764,0.05588235294117647,0.17352941176470588
Youtube / One#Night#Ultimate#Werewolf#381#The#Hunt#Is#On / Game1,Youtube,train,One#Night#Ultimate#Werewolf#381#The#Hunt#Is#On,Game1,203,6,0,113,9,90,113,23,11,13,9,16,27,113,99,0.4433497536945813,0.5566502463054187,0.04433497536945813,0.11330049261083744,0.054187192118226604,0.06403940886699508,0.04433497536945813,0.07881773399014778,0.1330049261083744
Youtube / One#Night#Ultimate#Werewolf#382#Game#100!! / Game1,Youtube,train,One#Night#Ultimate#Werewolf#382#Game#100!!,Game1,170,6,0,63,12,107,63,24,5,15,18,15,42,63,119,0.6294117647058823,0.37058823529411766,0.07058823529411765,0.1411764705882353,0.029411764705882353,0.08823529411764706,0.10588235294117647,0.08823529411764706,0.24705882352941178
Youtube / One#Night#Ultimate#Werewolf#491#Classic#Werewolf / Game1,Youtube,val,One#Night#Ultimate#Werewolf#491#Classic#Werewolf,Game1,146,4,0,83,9,63,83,21,3,9,11,9,20,83,73,0.4315068493150685,0.5684931506849316,0.06164383561643835,0.14383561643835616,0.02054794520547945,0.06164383561643835,0.07534246575342465,0.06164383561643835,0.136986301369863
Youtube / One#Night#Ultimate#Werewolf#492#More#Classic#Werewolf / Game1,Youtube,train,One#Night#Ultimate#Werewolf#492#More#Classic#Werewolf,Game1,180,4,0,127,4,53,127,9,4,6,9,7,22,127,57,0.29444444444444445,0.7055555555555556,0.022222222222222223,0.05,0.022222222222222223,0.03333333333333333,0.05,0.03888888888888889,0.12222222222222222
Youtube / One#Night#Ultimate#Werewolf#493#Even#More#Classic#Werewolf / Game1,Youtube,test,One#Night#Ultimate#Werewolf#493#Even#More#Classic#Werewolf,Game1,177,4,0,75,10,102,75,31,10,14,13,10,34,75,112,0.576271186440678,0.423728813559322,0.05649717514124294,0.1751412429378531,0.05649717514124294,0.07909604519774012,0.07344632768361582,0.05649717514124294,0.192090395480226
Youtube / One#Night#Ultimate#Werewolf#531#Classic#ONUW / Game1,Youtube,train,One#Night#Ultimate#Werewolf#531#Classic#ONUW,Game1,107,4,0,39,10,68,39,11,5,15,12,8,28,39,79,0.6355140186915887,0.3644859813084112,0.09345794392523364,0.102803738317757,0.04672897196261682,0.14018691588785046,0.11214953271028037,0.07476635514018691,0.2616822429906542
Youtube / One#Night#Ultimate#Werewolf#532#More#Classic#ONUW / Game1,Youtube,train,One#Night#Ultimate#Werewolf#532#More#Classic#ONUW,Game1,106,4,0,43,8,63,43,14,6,8,9,8,26,43,71,0.5943396226415094,0.4056603773584906,0.07547169811320754,0.1320754716981132,0.05660377358490566,0.07547169811320754,0.08490566037735849,0.07547169811320754,0.24528301886792453
Youtube / One#Night#Ultimate#Werewolf#533#Even#More#Classic#ONUW / Game1,Youtube,train,One#Night#Ultimate#Werewolf#533#Even#More#Classic#ONUW,Game1,79,4,0,29,7,50,29,11,4,10,8,4,22,29,59,0.6329113924050633,0.3670886075949367,0.08860759493670886,0.13924050632911392,0.05063291139240506,0.12658227848101267,0.10126582278481013,0.05063291139240506,0.27848101265822783
Youtube / One#Night#Ultimate#Werewolf#GAME#NIGHT!! / Game2,Youtube,test,One#Night#Ultimate#Werewolf#GAME#NIGHT!!,Game2,74,5,0,38,6,36,38,10,3,8,6,7,9,38,43,0.4864864864864865,0.5135135135135135,0.08108108108108109,0.13513513513513514,0.04054054054054054,0.10810810810810811,0.08108108108108109,0.0945945945945946,0.12162162162162163
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game1,Youtube,train,Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7,Game1,111,5,0,33,14,78,33,17,8,22,17,6,23,33,93,0.7027027027027027,0.2972972972972973,0.12612612612612611,0.15315315315315314,0.07207207207207207,0.1981981981981982,0.15315315315315314,0.05405405405405406,0.2072072072072072
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game2,Youtube,test,Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7,Game2,109,5,0,44,8,65,44,11,2,12,10,10,29,44,74,0.5963302752293578,0.4036697247706422,0.07339449541284404,0.10091743119266056,0.01834862385321101,0.11009174311926606,0.09174311926605505,0.09174311926605505,0.26605504587155965
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game3,Youtube,test,Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7,Game3,128,5,0,65,6,63,65,13,5,6,9,6,31,65,70,0.4921875,0.5078125,0.046875,0.1015625,0.0390625,0.046875,0.0703125,0.046875,0.2421875
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game4,Youtube,test,Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7,Game4,186,5,0,74,16,112,74,24,9,18,18,19,40,74,128,0.6021505376344086,0.3978494623655914,0.08602150537634409,0.12903225806451613,0.04838709677419355,0.0967741935483871,0.0967741935483871,0.10215053763440861,0.21505376344086022
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game5,Youtube,val,Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7,Game5,196,5,0,96,10,100,96,33,7,15,14,9,32,96,110,0.5102040816326531,0.4897959183673469,0.05102040816326531,0.1683673469387755,0.03571428571428571,0.07653061224489796,0.07142857142857142,0.04591836734693878,0.16326530612244897
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game5,Youtube,train,The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF,Game5,184,5,0,72,16,112,72,32,20,36,10,6,26,72,130,0.6086956521739131,0.391304347826087,0.08695652173913043,0.17391304347826086,0.10869565217391304,0.1956521739130435,0.05434782608695652,0.03260869565217391,0.14130434782608695
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game6,Youtube,test,The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF,Game6,131,5,0,45,10,86,45,22,10,11,15,1,37,45,96,0.6564885496183206,0.3435114503816794,0.07633587786259542,0.16793893129770993,0.07633587786259542,0.08396946564885496,0.11450381679389313,0.007633587786259542,0.2824427480916031
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game7,Youtube,train,The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF,Game7,145,5,0,69,6,76,69,21,6,8,8,2,37,69,82,0.5241379310344828,0.47586206896551725,0.041379310344827586,0.14482758620689656,0.041379310344827586,0.05517241379310345,0.05517241379310345,0.013793103448275862,0.25517241379310346
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game1,Youtube,test,Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11,Game1,147,5,0,57,15,90,57,24,13,29,11,9,23,57,109,0.6122448979591837,0.3877551020408163,0.10204081632653061,0.16326530612244897,0.08843537414965986,0.19727891156462585,0.07482993197278912,0.061224489795918366,0.1564625850340136
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game2,Youtube,train,Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11,Game2,127,5,0,51,6,76,51,27,11,13,8,5,19,51,83,0.5984251968503937,0.4015748031496063,0.047244094488188976,0.2125984251968504,0.08661417322834646,0.10236220472440945,0.06299212598425197,0.03937007874015748,0.14960629921259844
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game3,Youtube,test,Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11,Game3,121,5,0,40,11,81,40,27,11,10,11,8,25,40,92,0.6694214876033058,0.3305785123966942,0.09090909090909091,0.2231404958677686,0.09090909090909091,0.08264462809917356,0.09090909090909091,0.06611570247933884,0.2066115702479339
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game4,Youtube,train,Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11,Game4,112,5,0,28,15,84,28,19,21,17,12,12,19,28,100,0.75,0.25,0.13392857142857142,0.16964285714285715,0.1875,0.15178571428571427,0.10714285714285714,0.10714285714285714,0.16964285714285715
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game5,Youtube,train,Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11,Game5,149,5,0,63,6,86,63,18,8,7,7,13,39,63,92,0.5771812080536913,0.4228187919463087,0.040268456375838924,0.12080536912751678,0.053691275167785234,0.04697986577181208,0.04697986577181208,0.087248322147651,0.26174496644295303
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game1,Youtube,train,Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10,Game1,145,5,0,66,22,79,66,23,6,27,19,11,17,66,103,0.5448275862068965,0.45517241379310347,0.15172413793103448,0.15862068965517243,0.041379310344827586,0.18620689655172415,0.1310344827586207,0.07586206896551724,0.11724137931034483
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game2,Youtube,train,Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10,Game2,167,5,0,69,12,98,69,31,11,19,12,7,31,69,111,0.5868263473053892,0.41317365269461076,0.0718562874251497,0.18562874251497005,0.0658682634730539,0.11377245508982035,0.0718562874251497,0.041916167664670656,0.18562874251497005
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game3,Youtube,train,Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10,Game3,137,5,0,61,7,76,61,23,18,8,10,6,19,61,84,0.5547445255474452,0.44525547445255476,0.051094890510948905,0.1678832116788321,0.13138686131386862,0.058394160583941604,0.072992700729927,0.043795620437956206,0.1386861313868613
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game4,Youtube,train,Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10,Game4,155,5,0,61,15,94,61,31,4,15,24,12,24,61,110,0.6064516129032258,0.3935483870967742,0.0967741935483871,0.2,0.025806451612903226,0.0967741935483871,0.15483870967741936,0.07741935483870968,0.15483870967741936
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game5,Youtube,val,Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10,Game5,183,5,0,87,11,96,87,37,22,12,8,7,22,87,108,0.5245901639344263,0.47540983606557374,0.060109289617486336,0.20218579234972678,0.12021857923497267,0.06557377049180328,0.04371584699453552,0.03825136612021858,0.12021857923497267
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game1,Youtube,train,Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8,Game1,75,5,0,32,10,43,32,6,11,5,15,5,12,32,54,0.5733333333333334,0.4266666666666667,0.13333333333333333,0.08,0.14666666666666667,0.06666666666666667,0.2,0.06666666666666667,0.16
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game2,Youtube,train,Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8,Game2,169,5,0,85,15,84,85,30,9,19,9,10,23,85,100,0.4970414201183432,0.5029585798816568,0.08875739644970414,0.17751479289940827,0.05325443786982249,0.11242603550295859,0.05325443786982249,0.05917159763313609,0.13609467455621302
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game3,Youtube,test,Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8,Game3,125,5,0,58,8,67,58,17,11,12,7,4,24,58,75,0.536,0.464,0.064,0.136,0.088,0.096,0.056,0.032,0.192
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game4,Youtube,test,Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8,Game4,158,5,0,62,15,96,62,33,6,10,22,9,34,62,114,0.6075949367088608,0.3924050632911392,0.0949367088607595,0.2088607594936709,0.0379746835443038,0.06329113924050633,0.13924050632911392,0.056962025316455694,0.21518987341772153
